Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
61,EURUSD,Sell,0.7000000000000001,2024-06-14 21:00:00,1.06993,2024-06-14 22:00:00,1.06995,,,-2.0999999999936283,748.951,1e-05,False
60,EURUSD,Sell,1.24,2024-06-14 19:00:00,1.07005,2024-06-14 22:00:00,1.06995,,,11.159999999998634,1326.8619999999999,1e-05,False
59,EURUSD,Sell,0.8,2024-06-14 18:00:00,1.06988,2024-06-14 21:00:00,1.06993,197385.0414130823,197417.04141308233,-4.800000000008441,855.904,1e-05,True
58,EURUSD,Sell,1.18,2024-06-14 17:00:00,1.06872,2024-06-14 18:00:00,1.06988,197389.84141308232,197708.44141308233,-136.88000000000588,1261.0896,0.0,True
57,EURUSD,Sell,1.52,2024-06-14 07:00:00,1.07364,2024-06-14 18:00:00,1.06988,197526.72141308233,197708.44141308233,571.5199999999978,1631.9328,0.0,True
56,EURUSD,Sell,1.51,2024-06-14 06:00:00,1.07402,2024-06-14 16:00:00,1.06691,196955.20141308234,197353.98141308234,1073.6099999999924,1621.7702,0.0,True
55,EURUSD,Sell,0.05,2024-06-13 19:00:00,1.07352,2024-06-14 06:00:00,1.07402,195881.59141308235,195868.36141308234,-2.4999999999997247,53.676,0.0,True
54,EURUSD,Sell,0.44,2024-06-13 18:00:00,1.07554,2024-06-14 06:00:00,1.07402,195884.09141308235,195868.36141308234,66.43999999999849,473.23759999999993,1e-05,True
49,EURUSD,Sell,2.0,2024-06-13 00:00:00,1.08119,2024-06-13 18:00:00,1.07554,195817.65141308235,195491.65141308235,1086.0000000000312,2162.38,0.00022,True
53,EURUSD,Buy,0.27,2024-06-13 15:00:00,1.07934,2024-06-13 17:00:00,1.07715,194731.65141308232,195218.85141308233,-59.39999999999768,291.4218,1e-05,True
52,EURUSD,Sell,1.78,2024-06-13 14:00:00,1.07833,2024-06-13 15:00:00,1.07934,194791.0514130823,195491.27141308234,-181.55999999999207,1919.4273999999998,1e-05,True
51,EURUSD,Buy,0.21,2024-06-13 09:00:00,1.08023,2024-06-13 14:00:00,1.07833,194972.6114130823,195305.5014130823,-39.90000000000027,226.84830000000002,0.0,True
50,EURUSD,Sell,0.6900000000000001,2024-06-13 06:00:00,1.08068,2024-06-13 08:00:00,1.08046,195012.5114130823,195136.03141308235,15.18000000000752,745.6692000000002,0.0,True
46,EURUSD,Sell,2.0,2024-06-12 17:00:00,1.08481,2024-06-13 06:00:00,1.08068,194997.3314130823,195003.3314130823,823.9999999999935,2169.62,1e-05,True
48,EURUSD,Sell,0.97,2024-06-12 22:00:00,1.08067,2024-06-13 00:00:00,1.08119,194173.3314130823,195020.0714130823,-50.440000000007366,1048.2499,0.0,True
47,EURUSD,Sell,0.85,2024-06-12 18:00:00,1.08425,2024-06-12 22:00:00,1.08067,194223.77141308232,194904.4214130823,304.2999999999929,921.6125,0.0,True
45,EURUSD,Sell,1.81,2024-06-12 16:00:00,1.08366,2024-06-12 17:00:00,1.08481,193919.47141308233,194118.57141308233,-208.14999999999716,1961.4246000000003,0.0,True
44,EURUSD,Sell,1.23,2024-06-12 15:00:00,1.08267,2024-06-12 16:00:00,1.08366,194127.62141308232,194256.77141308232,-123.00000000000571,1331.6841,1e-05,True
43,EURUSD,Sell,1.2,2024-06-12 14:00:00,1.07644,2024-06-12 15:00:00,1.08267,194250.62141308232,196244.2214130823,-747.5999999999949,1291.728,0.0,True
42,EURUSD,Sell,2.0,2024-06-12 13:00:00,1.07587,2024-06-12 15:00:00,1.08267,194998.22141308233,196244.2214130823,-1363.9999999999834,2151.7400000000002,2e-05,True
41,EURUSD,Sell,0.9,2024-06-12 12:00:00,1.07526,2024-06-12 14:00:00,1.07644,196362.2214130823,196403.72141308233,-107.0999999999963,967.734,1e-05,True
