Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
47,EURUSD,Sell,1.11,2024-06-14 20:00:00,1.0698,2024-06-14 22:00:00,1.06994,,,-16.649999999978572,1187.4780000000003,1e-05,False
42,EURUSD,Sell,1.61,2024-06-13 00:00:00,1.08126,2024-06-14 22:00:00,1.06994,,,1798.3700000000351,1740.8286,0.00015,False
46,EURUSD,Sell,0.9,2024-06-14 14:00:00,1.06939,2024-06-14 20:00:00,1.0698,185292.88957537018,187053.55957537016,-38.70000000000193,962.451,2e-05,True
45,EURUSD,Sell,1.96,2024-06-14 11:00:00,1.06918,2024-06-14 14:00:00,1.06939,185331.5895753702,187075.70957537022,-41.16000000000852,2095.5928,0.0,True
44,EURUSD,Sell,0.03,2024-06-14 08:00:00,1.07306,2024-06-14 11:00:00,1.06918,185372.7495753702,187035.9995753702,11.57999999999965,32.1918,2e-05,True
43,EURUSD,Sell,0.4,2024-06-13 02:00:00,1.08127,2024-06-14 08:00:00,1.07306,185361.1695753702,186540.63957537024,327.60000000000207,432.508,2e-05,True
40,EURUSD,Sell,0.55,2024-06-12 21:00:00,1.08123,2024-06-13 02:00:00,1.08127,185033.5695753702,185048.8495753702,-3.3000000000022007,594.6765,2e-05,True
41,EURUSD,Sell,2.0,2024-06-12 22:00:00,1.08064,2024-06-13 00:00:00,1.08126,185036.8695753702,185184.56957537017,-126.00000000001299,2161.28,1e-05,True
39,EURUSD,Sell,0.22,2024-06-12 16:00:00,1.08366,2024-06-12 17:00:00,1.0848,185162.8695753702,185187.28957537017,-25.299999999998214,238.4052,1e-05,True
38,EURUSD,Sell,1.32,2024-06-12 13:00:00,1.07585,2024-06-12 15:00:00,1.08266,185188.16957537018,186009.20957537016,-901.5599999999977,1420.1219999999998,2e-05,True
36,EURUSD,Sell,0.79,2024-06-12 08:00:00,1.07458,2024-06-12 13:00:00,1.07585,186089.72957537018,186135.54957537018,-103.48999999999072,848.9182000000001,4e-05,True
37,EURUSD,Sell,1.28,2024-06-12 09:00:00,1.07414,2024-06-12 11:00:00,1.07466,186193.21957537017,186225.13957537015,-67.8399999999813,1374.8992,1e-05,True
35,EURUSD,Sell,1.17,2024-06-12 07:00:00,1.07366,2024-06-12 08:00:00,1.07458,186261.05957537013,186546.17957537016,-108.81000000000374,1256.1822,1e-05,True
34,EURUSD,Sell,1.8,2024-06-11 23:00:00,1.07402,2024-06-12 08:00:00,1.07458,186369.86957537013,186546.17957537016,-309.6000000000209,1933.236,0.00116,True
29,EURUSD,Sell,1.33,2024-06-11 01:00:00,1.07654,2024-06-12 07:00:00,1.07366,186679.46957537017,186422.78957537017,377.7199999999991,1431.7982000000002,4e-05,True
33,EURUSD,Buy,0.77,2024-06-11 20:00:00,1.07423,2024-06-11 23:00:00,1.07402,186301.74957537017,186632.14957537016,-17.710000000003348,827.1571,2e-05,True
32,EURUSD,Sell,1.53,2024-06-11 18:00:00,1.07323,2024-06-11 20:00:00,1.07423,186319.45957537016,186764.36957537016,-153.0000000000171,1642.0418999999997,0.0,True
31,EURUSD,Sell,2.0,2024-06-11 08:00:00,1.07656,2024-06-11 18:00:00,1.07323,186472.4595753702,187243.6995753702,664.000000000011,2153.12,1e-05,True
30,EURUSD,Sell,2.0,2024-06-11 06:00:00,1.07684,2024-06-11 07:00:00,1.07683,185808.4595753702,185761.2395753702,1.310224444130842e-11,2153.68,1e-05,True
28,EURUSD,Sell,0.36,2024-06-10 20:00:00,1.07593,2024-06-11 06:00:00,1.07684,185808.4595753702,185775.0695753702,-33.47999999999879,387.33480000000003,2e-05,True
25,EURUSD,Sell,0.23,2024-06-10 10:00:00,1.07644,2024-06-11 01:00:00,1.07654,185841.9395753702,185819.2595753702,-2.7599999999997467,247.58120000000002,2e-05,True
27,EURUSD,Sell,0.39,2024-06-10 15:00:00,1.07414,2024-06-10 19:00:00,1.07541,185844.6995753702,185892.72957537018,-49.91999999999541,418.91460000000006,1e-05,True
26,EURUSD,Sell,2.0,2024-06-10 12:00:00,1.07432,2024-06-10 14:00:00,1.07536,185894.6195753702,186286.94957537024,-212.00000000003038,2148.64,2e-05,True
24,EURUSD,Sell,1.99,2024-06-10 09:00:00,1.07518,2024-06-10 10:00:00,1.07644,186106.61957537022,186561.4795753703,-252.73000000000775,2139.6082,1e-05,True
23,EURUSD,Sell,2.0,2024-06-10 07:00:00,1.07543,2024-06-10 10:00:00,1.07644,186359.34957537023,186561.4795753703,-203.99999999999108,2150.86,1e-05,True
22,EURUSD,Buy,0.64,2024-06-10 04:00:00,1.07747,2024-06-10 06:00:00,1.07556,186563.34957537023,186409.74957537025,-123.5199999999908,689.5808000000001,2e-05,True
21,EURUSD,Sell,1.92,2024-06-10 02:00:00,1.07787,2024-06-10 06:00:00,1.07556,186686.86957537022,186409.74957537025,439.68000000000654,2069.5104,2e-05,True
20,EURUSD,Sell,0.64,2024-06-10 00:00:00,1.07723,2024-06-10 01:00:00,1.07772,186247.18957537023,186247.18957537023,-38.3976879378581,689.4272,0.00010996387402893136,True
18,EURUSD,Sell,1.31,2024-06-07 06:00:00,1.08945,2024-06-10 01:00:00,1.07772,186285.5872633081,186247.18957537023,1524.663516817475,1427.1795000000002,9.134719986661942e-05,True
19,EURUSD,Buy,0.74,2024-06-07 22:00:00,1.08005,2024-06-10 00:00:00,1.07723,184760.92374649062,186349.77726330812,-211.8355764960973,799.237,4.2642925622892024e-05,True
17,EURUSD,Sell,1.54,2024-06-07 05:00:00,1.08968,2024-06-07 22:00:00,1.08005,184972.7593229867,186192.1928398042,1458.5627563572941,1678.1072,0.00015881327040720748,True
16,EURUSD,Sell,0.9400000000000001,2024-06-07 04:00:00,1.08956,2024-06-07 06:00:00,1.08945,183514.1965666294,183525.15932298667,-0.16725506470518905,1024.1864,0.00011177930919904587,True
14,EURUSD,Sell,2.0,2024-06-06 04:00:00,1.08941,2024-06-07 04:00:00,1.08956,183514.3638216941,183514.3638216941,-51.42641908576571,2178.82,0.00010713209542873402,True
15,EURUSD,Sell,1.03,2024-06-06 22:00:00,1.08893,2024-06-07 03:00:00,1.08895,183565.79024077987,183636.3638216941,-6.897345064504442,1121.5979,4.6964515189232495e-05,True
13,EURUSD,Sell,0.5700000000000001,2024-06-06 00:00:00,1.08706,2024-06-06 22:00:00,1.08893,183572.68758584437,183647.26116675863,-111.19247335022447,619.6242000000001,8.074514649512781e-05,True
12,EURUSD,Sell,0.77,2024-06-05 15:00:00,1.0884,2024-06-06 04:00:00,1.08941,183683.8800591946,183545.32758584438,-86.33980090575527,838.068,0.00011129611565920392,True
10,EURUSD,Sell,0.63,2024-06-05 09:00:00,1.08764,2024-06-06 00:00:00,1.08706,183770.21986010036,183864.83005919462,28.861543688258347,685.2131999999999,0.0001218802589165591,True
11,EURUSD,Sell,1.75,2024-06-05 10:00:00,1.08716,2024-06-05 15:00:00,1.0884,183741.3583164121,183685.79986010035,-234.86098408695474,1902.5299999999997,0.0001020627662110402,True
8,EURUSD,Sell,1.5,2024-06-05 04:00:00,1.08841,2024-06-05 10:00:00,1.08716,183976.21930049907,183998.78084418733,171.66938716630705,1632.6150000000002,0.0001055374188914818,True
9,EURUSD,Sell,0.6,2024-06-05 08:00:00,1.08791,2024-06-05 09:00:00,1.08764,183804.54991333277,183904.21930049907,8.207620389655828,652.746,0.000133206326839062,True
6,EURUSD,Sell,0.87,2024-06-04 20:00:00,1.08833,2024-06-05 08:00:00,1.08791,183796.34229294313,183855.51168010943,28.012305652840592,946.8471000000001,9.801947525479279e-05,True
7,EURUSD,Sell,0.8300000000000001,2024-06-04 23:00:00,1.08791,2024-06-05 04:00:00,1.08841,183768.3299872903,183752.84229294313,-45.66779913922673,902.9653,5.021444746039608e-05,True
5,EURUSD,Sell,2.0,2024-06-04 15:00:00,1.08646,2024-06-04 22:00:00,1.0881,183813.9977864295,183825.48009208235,-347.1500800509254,2172.92,9.575040025454104e-05,True
4,EURUSD,Sell,2.0,2024-06-04 14:00:00,1.08613,2024-06-04 20:00:00,1.08833,184161.14786648043,183767.9977864295,-455.10966650158656,2172.26,7.554833250795313e-05,True
3,EURUSD,Sell,1.82,2024-06-03 17:00:00,1.08697,2024-06-04 15:00:00,1.08646,184616.257532982,184535.14786648043,68.44772876804667,1978.2854,0.00013391357819755615,True
1,EURUSD,Sell,2.0,2024-06-03 14:00:00,1.08433,2024-06-04 14:00:00,1.08613,184547.80980421396,184676.317532982,-375.06460434712204,2168.66,7.532302173558634e-05,True
2,EURUSD,Sell,1.48,2024-06-03 15:00:00,1.08444,2024-06-03 17:00:00,1.08697,184922.8744085611,184379.809804214,-388.9855914388883,1604.9712000000002,9.828102323581069e-05,True
