Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
40,EURUSD,Buy,2.0,2024-06-07 02:00:00,1.08917,2024-06-07 10:00:00,1.08926,185332.04711085567,185326.0471108557,11.999999999984695,2178.34,3e-05,True
39,EURUSD,Buy,2.0,2024-06-06 21:00:00,1.0893,2024-06-06 23:00:00,1.08894,185320.0471108557,185318.04711085567,-71.99999999998319,2178.6,0.0,True
38,EURUSD,Sell,2.0,2024-06-06 17:00:00,1.0878,2024-06-06 19:00:00,1.08818,185392.04711085567,185388.04711085564,-77.99999999996498,2175.6000000000004,1e-05,True
37,EURUSD,Buy,2.0,2024-06-06 15:00:00,1.08816,2024-06-06 16:00:00,1.0885,185470.04711085564,185402.04711085564,64.00000000000139,2176.32,2e-05,True
35,EURUSD,Sell,2.0,2024-06-06 06:00:00,1.08905,2024-06-06 15:00:00,1.08816,185406.04711085564,185684.04711085564,174.00000000001148,2178.1000000000004,2e-05,True
36,EURUSD,Sell,2.0,2024-06-06 10:00:00,1.08782,2024-06-06 11:00:00,1.08773,185232.04711085564,185472.0471108557,13.999999999984695,2175.64,2e-05,True
34,EURUSD,Buy,2.0,2024-06-06 03:00:00,1.0882,2024-06-06 04:00:00,1.08941,185218.04711085567,185218.04711085567,235.99999999998664,2176.4,3e-05,True
33,EURUSD,Sell,2.0,2024-06-05 22:00:00,1.08741,2024-06-06 04:00:00,1.08941,184982.04711085567,185218.04711085567,-404.00000000000034,2174.82,2e-05,True
32,EURUSD,Sell,2.0,2024-06-05 18:00:00,1.08648,2024-06-05 21:00:00,1.08755,185386.04711085567,185552.0471108557,-216.0000000000253,2172.9599999999996,1e-05,True
31,EURUSD,Sell,2.0,2024-06-05 13:00:00,1.08686,2024-06-05 14:00:00,1.08681,185602.0471108557,185596.0471108557,5.999999999976694,2173.72,2e-05,True
26,EURUSD,Sell,1.94,2024-06-04 08:00:00,1.0903,2024-06-05 13:00:00,1.08686,185596.04711085572,185506.8071108557,667.3600000000213,2115.1820000000002,0.0,True
30,EURUSD,Sell,1.7,2024-06-05 10:00:00,1.08716,2024-06-05 12:00:00,1.08736,184928.6871108557,185437.1671108557,-40.800000000034004,1848.1719999999998,4e-05,True
29,EURUSD,Sell,2.0,2024-06-05 08:00:00,1.08791,2024-06-05 10:00:00,1.08716,184969.48711085576,185401.34711085577,146.00000000000568,2175.82,2e-05,True
28,EURUSD,Buy,2.0,2024-06-04 21:00:00,1.08821,2024-06-04 22:00:00,1.0881,184823.48711085576,185250.94711085575,-23.99999999996649,2176.4199999999996,1e-05,True
27,EURUSD,Sell,2.0,2024-06-04 09:00:00,1.08971,2024-06-04 10:00:00,1.08902,184847.48711085573,184831.82711085572,133.99999999997146,2179.42,2e-05,True
25,EURUSD,Sell,2.0,2024-06-04 05:00:00,1.09078,2024-06-04 08:00:00,1.0903,184713.48711085576,184589.48711085579,96.00000000000719,2181.5600000000004,0.0,True
22,EURUSD,Sell,2.0,2024-06-03 16:00:00,1.08507,2024-06-04 01:00:00,1.09071,184617.48711085576,184715.48711085579,-1128.000000000018,2170.14,0.0,True
24,EURUSD,Buy,2.0,2024-06-03 20:00:00,1.08879,2024-06-03 23:00:00,1.09043,185745.48711085579,184673.48711085576,326.00000000001717,2177.58,1e-05,True
23,EURUSD,Buy,2.0,2024-06-03 17:00:00,1.08697,2024-06-03 18:00:00,1.08897,185419.48711085576,184639.48711085576,396.00000000000034,2173.94,2e-05,True
