,MSolutions,Nova
Spread Buy,0.00010045454545453742,8.521739130433652e-05
Spread Sell,-0.00012476190476188678,-4.739130434782763e-05
Close Spread Buy,-0.00012190476190472521,-0.00012454545454543275
Close Spread Sell,0.00010904761904762501,0.00012782608695653856
