Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
74,EURUSD,Sell,2.0,2024-06-21 21:00:00,1.06947,2024-06-21 22:00:00,1.06949,,,-4.000000000026205,2138.9399999999996,0.0,False
73,EURUSD,Sell,1.2,2024-06-21 19:00:00,1.06922,2024-06-21 22:00:00,1.06949,,,-32.399999999999096,1283.064,0.0,False
70,EURUSD,Sell,2.0,2024-06-21 12:00:00,1.06979,2024-06-21 19:00:00,1.06922,197114.27340463633,197084.27340463636,113.99999999999189,2139.58,0.0,True
72,EURUSD,Buy,2.0,2024-06-21 17:00:00,1.06815,2024-06-21 18:00:00,1.06937,197000.27340463633,197084.27340463636,243.99999999999977,2136.3,0.0,True
71,EURUSD,Buy,2.0,2024-06-21 15:00:00,1.06948,2024-06-21 16:00:00,1.06825,196756.27340463633,197064.27340463633,-248.00000000001288,2138.96,1e-05,True
69,EURUSD,Sell,2.0,2024-06-21 07:00:00,1.07185,2024-06-21 10:00:00,1.0678,197004.27340463633,196366.27340463633,809.9999999999774,2143.7,0.0,True
68,EURUSD,Sell,2.0,2024-06-21 06:00:00,1.07163,2024-06-21 09:00:00,1.071,196194.27340463636,196028.27340463636,126.00000000002609,2143.26,0.0,True
67,EURUSD,Buy,2.0,2024-06-21 04:00:00,1.07103,2024-06-21 05:00:00,1.07169,196068.27340463633,196068.2734046363,132.00000000002098,2142.0599999999995,0.0,True
65,EURUSD,Sell,2.0,2024-06-21 00:00:00,1.07038,2024-06-21 05:00:00,1.07169,195936.2734046363,196068.2734046363,-261.9999999999845,2140.76,0.0,True
66,EURUSD,Buy,2.0,2024-06-21 02:00:00,1.0706,2024-06-21 03:00:00,1.07067,196198.27340463627,196140.27340463627,14.000000000002899,2141.2,0.0,True
64,EURUSD,Buy,2.0,2024-06-20 20:00:00,1.07071,2024-06-20 21:00:00,1.07104,196184.27340463627,196184.27340463627,65.99999999998829,2141.42,0.0,True
63,EURUSD,Sell,2.0,2024-06-20 19:00:00,1.07072,2024-06-20 21:00:00,1.07104,196118.27340463627,196184.27340463627,-64.0000000000196,2141.4399999999996,0.0,True
62,EURUSD,Sell,2.0,2024-06-20 18:00:00,1.07073,2024-06-20 19:00:00,1.07072,196182.2734046363,196178.2734046363,2.0000000000131024,2141.46,0.0,True
61,EURUSD,Sell,2.0,2024-06-20 15:00:00,1.0719,2024-06-20 16:00:00,1.07244,196180.2734046363,196288.2734046363,-109.99999999999699,2143.8,1e-05,True
60,EURUSD,Buy,2.0,2024-06-20 12:00:00,1.07252,2024-06-20 13:00:00,1.07285,196290.2734046363,196236.2734046363,66.0000000000327,2145.0399999999995,0.0,True
59,EURUSD,Sell,2.0,2024-06-20 09:00:00,1.07327,2024-06-20 10:00:00,1.07247,196224.27340463627,195900.2734046363,159.99999999998238,2146.54,0.0,True
58,EURUSD,Sell,2.0,2024-06-20 05:00:00,1.07394,2024-06-20 10:00:00,1.07247,196064.2734046363,195900.2734046363,293.99999999997203,2147.8799999999997,0.0,True
57,EURUSD,Sell,2.0,2024-06-20 02:00:00,1.07471,2024-06-20 06:00:00,1.07418,195770.27340463633,195810.27340463627,104.0000000000283,2149.42,1e-05,True
56,EURUSD,Buy,2.0,2024-06-19 23:00:00,1.07412,2024-06-20 00:00:00,1.07444,195666.2734046363,195552.2734046363,-85.9999999999804,2148.24,0.00075,True
54,EURUSD,Buy,2.0,2024-06-19 15:00:00,1.07459,2024-06-19 23:00:00,1.07412,195752.27340463627,195824.2734046363,-93.99999999999409,2149.18,0.0,True
