Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
117,EURUSD,Sell,2.0,2024-05-03 22:50:00,1.07658,2024-05-03 22:55:00,1.07658,,,-4.0,2153.1600000000003,2e-05,False
113,EURUSD,Sell,2.0,2024-05-03 22:05:00,1.07676,2024-05-03 22:55:00,1.07658,,,31.99999999996939,2153.52,2e-05,False
116,EURUSD,Sell,2.0,2024-05-03 22:35:00,1.07686,2024-05-03 22:50:00,1.07658,218439.90137288874,218463.90137288874,47.99999999996719,2153.72,4e-05,True
115,EURUSD,Buy,2.0,2024-05-03 22:30:00,1.07687,2024-05-03 22:35:00,1.07686,218391.90137288877,218367.90137288877,-10.000000000013102,2153.74,4e-05,True
114,EURUSD,Sell,2.0,2024-05-03 22:25:00,1.07689,2024-05-03 22:30:00,1.07687,218401.90137288877,218371.90137288874,-1.8204432102389423e-11,2153.7799999999997,2e-05,True
112,EURUSD,Sell,2.0,2024-05-03 22:00:00,1.07681,2024-05-03 22:25:00,1.07689,218401.9013728888,218431.90137288874,-19.999999999971593,2153.62,2e-05,True
111,EURUSD,Buy,2.0,2024-05-03 21:55:00,1.07674,2024-05-03 22:00:00,1.07681,218421.90137288877,218421.90137288877,6.000000000002898,2153.48,4e-05,True
110,EURUSD,Sell,2.0,2024-05-03 21:50:00,1.07661,2024-05-03 22:00:00,1.07681,218415.90137288877,218421.90137288877,-43.999999999995595,2153.22,2e-05,True
109,EURUSD,Buy,2.0,2024-05-03 21:40:00,1.07663,2024-05-03 21:50:00,1.07661,218459.90137288877,218495.90137288874,-5.999999999981796,2153.26,1e-05,True
108,EURUSD,Buy,2.0,2024-05-03 21:35:00,1.0766,2024-05-03 21:50:00,1.07661,218465.90137288874,218495.90137288874,-1.9999999999868978,2153.2,2e-05,True
106,EURUSD,Sell,2.0,2024-05-03 21:20:00,1.07659,2024-05-03 21:40:00,1.07663,218467.90137288874,218469.9013728887,-10.000000000008,2153.18,1e-05,True
107,EURUSD,Buy,2.0,2024-05-03 21:30:00,1.07667,2024-05-03 21:35:00,1.0766,218477.90137288874,218473.9013728887,-16.0000000000029,2153.34,1e-05,True
101,EURUSD,Sell,0.49,2024-05-03 20:55:00,1.07649,2024-05-03 21:30:00,1.07667,218493.90137288874,218508.27137288873,-9.800000000003381,527.4801,2e-05,True
105,EURUSD,Buy,2.0,2024-05-03 21:15:00,1.07662,2024-05-03 21:20:00,1.07659,218503.70137288875,218502.35137288875,-7.999999999994898,2153.24,1e-05,True
104,EURUSD,Sell,2.0,2024-05-03 21:10:00,1.07654,2024-05-03 21:15:00,1.07662,218511.70137288875,218521.78137288877,-19.999999999971593,2153.08,2e-05,True
103,EURUSD,Sell,2.0,2024-05-03 21:05:00,1.07658,2024-05-03 21:10:00,1.07654,218531.70137288873,218515.82137288875,4.000000000008001,2153.1600000000003,2e-05,True
102,EURUSD,Buy,2.0,2024-05-03 21:00:00,1.07655,2024-05-03 21:05:00,1.07658,218527.70137288873,218517.7813728887,2.000000000039307,2153.1,2e-05,True
100,EURUSD,Sell,2.0,2024-05-03 20:50:00,1.0766,2024-05-03 20:55:00,1.07649,218525.7013728887,218489.70137288864,20.0000000000109,2153.2,1e-05,True
99,EURUSD,Sell,2.0,2024-05-03 20:45:00,1.07662,2024-05-03 20:55:00,1.07649,218505.7013728887,218489.70137288864,21.999999999992696,2153.24,2e-05,True
91,EURUSD,Buy,2.0,2024-05-03 19:50:00,1.07622,2024-05-03 20:50:00,1.0766,218483.7013728887,218483.7013728887,74.0000000000094,2152.44,1e-05,True
98,EURUSD,Buy,2.0,2024-05-03 20:40:00,1.07659,2024-05-03 20:45:00,1.07662,218409.7013728887,218475.7013728887,3.9999999999948983,2153.18,1e-05,True
97,EURUSD,Sell,2.0,2024-05-03 20:35:00,1.07664,2024-05-03 20:40:00,1.07659,218405.7013728887,218477.7013728887,8.000000000021103,2153.28,1e-05,True
96,EURUSD,Sell,2.0,2024-05-03 20:25:00,1.07626,2024-05-03 20:35:00,1.07664,218397.70137288867,218479.7013728887,-78.0000000000094,2152.52,1e-05,True
95,EURUSD,Sell,2.0,2024-05-03 20:15:00,1.07607,2024-05-03 20:25:00,1.07626,218475.70137288867,218481.70137288867,-41.99999999998249,2152.1400000000003,2e-05,True
