Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
56,EURUSD,Sell,0.11,2024-05-28 16:00:00,1.08641,2024-05-28 17:00:00,1.0864,,,-0.3299999999992794,119.5051,4e-05,False
55,EURUSD,Sell,0.09,2024-05-28 15:00:00,1.08765,2024-05-28 16:00:00,1.08641,185297.2588118979,185286.3688118979,10.88999999999917,97.88850000000001,3e-05,True
54,EURUSD,Sell,0.13,2024-05-28 11:00:00,1.08701,2024-05-28 14:00:00,1.08839,185286.3688118979,185300.9288118979,-17.93999999999918,141.31130000000002,0.0,True
53,EURUSD,Sell,0.13,2024-05-28 10:00:00,1.08774,2024-05-28 14:00:00,1.08839,185304.3088118979,185300.9288118979,-8.580000000000513,141.40619999999998,1e-05,True
52,EURUSD,Sell,0.03,2024-05-28 05:00:00,1.08759,2024-05-28 11:00:00,1.08701,185312.8888118979,185310.7288118979,1.620000000000075,32.6277,4e-05,True
49,EURUSD,Sell,0.16,2024-05-27 23:00:00,1.08581,2024-05-28 10:00:00,1.08774,185311.2688118979,185315.6388118979,-36.639999999999795,173.7296,0.00036,True
51,EURUSD,Sell,0.11,2024-05-28 03:00:00,1.0865,2024-05-28 05:00:00,1.08759,185347.9088118979,185323.3888118979,-12.21000000000039,119.515,2e-05,True
50,EURUSD,Sell,0.17,2024-05-28 00:00:00,1.08571,2024-05-28 03:00:00,1.0865,185360.1188118979,185355.1988118979,-15.810000000001162,184.5707,0.00014,True
48,EURUSD,Sell,0.13,2024-05-27 19:00:00,1.08598,2024-05-27 21:00:00,1.08575,185375.9288118979,185376.0588118979,2.469999999999382,141.1774,4e-05,True
47,EURUSD,Sell,0.14,2024-05-27 18:00:00,1.08594,2024-05-27 20:00:00,1.08574,185373.4588118979,185369.57881189793,2.519999999999692,152.0316,2e-05,True
46,EURUSD,Sell,0.13,2024-05-27 17:00:00,1.08582,2024-05-27 19:00:00,1.08598,185370.9388118979,185370.3688118979,-2.5999999999991936,141.1566,4e-05,True
44,EURUSD,Sell,0.14,2024-05-27 14:00:00,1.08573,2024-05-27 18:00:00,1.08594,185373.53881189792,185374.4288118979,-3.3599999999975005,152.00220000000002,3e-05,True
45,EURUSD,Sell,0.18,2024-05-27 15:00:00,1.08486,2024-05-27 17:00:00,1.08582,185376.8988118979,185385.1388118979,-17.460000000001294,195.2748,1e-05,True
43,EURUSD,Sell,0.16,2024-05-27 13:00:00,1.08628,2024-05-27 15:00:00,1.08486,185394.3588118979,185378.5188118979,22.55999999999963,173.8048,1e-05,True
42,EURUSD,Sell,0.17,2024-05-27 12:00:00,1.08671,2024-05-27 13:00:00,1.08628,185371.7988118979,185364.1488118979,7.310000000002592,184.7407,0.0,True
41,EURUSD,Sell,0.07,2024-05-27 09:00:00,1.08512,2024-05-27 12:00:00,1.08671,185364.4888118979,185400.88881189792,-11.199999999999864,75.95840000000003,1e-05,True
40,EURUSD,Sell,0.13,2024-05-27 07:00:00,1.08485,2024-05-27 12:00:00,1.08671,185375.6888118979,185400.88881189792,-24.309999999999647,141.03050000000002,1e-05,True
39,EURUSD,Sell,0.13,2024-05-27 06:00:00,1.08491,2024-05-27 09:00:00,1.08512,185399.9988118979,185402.0788118979,-2.860000000000565,141.0383,1e-05,True
38,EURUSD,Sell,0.13,2024-05-27 04:00:00,1.08499,2024-05-27 07:00:00,1.08485,185402.8588118979,185401.9488118979,1.5599999999974903,141.0487,2e-05,True
37,EURUSD,Sell,0.13,2024-05-27 03:00:00,1.08486,2024-05-27 06:00:00,1.08491,185401.2988118979,185399.99881189788,-0.7800000000013717,141.03179999999998,1e-05,True
36,EURUSD,Sell,0.18,2024-05-27 02:00:00,1.08465,2024-05-27 03:00:00,1.08486,185402.0788118979,185405.8588118979,-4.320000000000783,195.23699999999997,3e-05,True
35,EURUSD,Sell,0.21,2024-05-27 00:00:00,1.0846,2024-05-27 01:00:00,1.08506,185406.3988118979,185406.3988118979,-10.860778821099213,227.766,5.717994386196243e-05,True
34,EURUSD,Sell,0.18,2024-05-26 23:00:00,1.08463,2024-05-27 01:00:00,1.08506,185417.259590719,185406.3988118979,-10.083056104577626,195.2334,0.00013016978358771538,True
33,EURUSD,Sell,0.12,2024-05-24 23:00:00,1.08459,2024-05-27 00:00:00,1.0846,185427.34264682358,185425.539590719,-1.6374498193115838,130.1508,0.00012645415160923314,True
32,EURUSD,Sell,0.16,2024-05-24 14:00:00,1.08409,2024-05-26 23:00:00,1.08463,185428.9800966429,185426.98264682357,-9.55356088814718,173.4544,5.709755550921377e-05,True
31,EURUSD,Sell,0.16,2024-05-24 08:00:00,1.08105,2024-05-24 22:00:00,1.08489,185438.53365753102,185424.82009664288,-63.1885062295683,172.968,0.00010928163934817565,True
30,EURUSD,Sell,0.14,2024-05-24 06:00:00,1.08062,2024-05-24 14:00:00,1.08409,185501.7221637606,185451.33365753104,-49.88751115801743,151.2868,9.339365414401796e-05,True
29,EURUSD,Sell,0.09,2024-05-24 05:00:00,1.08087,2024-05-24 08:00:00,1.08105,185551.6096749186,185544.2821637606,-2.8961304862896116,97.2783,0.0001417922762543323,True
28,EURUSD,Sell,0.1,2024-05-24 04:00:00,1.08105,2024-05-24 06:00:00,1.08062,185554.5058054049,185555.4796749186,3.370584837052265,108.105,9.2941516294926e-05,True
27,EURUSD,Sell,0.11,2024-05-24 00:00:00,1.08147,2024-05-24 05:00:00,1.08087,185551.13522056784,185552.0058054049,5.4620544308210945,118.96170000000001,0.00010344959719801626,True
