Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed
43,EURUSD,Buy,1.43,2024-05-20 23:00:00,1.08556,2024-05-21 00:00:00,1.08558,,,-50.050000000013014,1552.3508000000002,0.00037,False
40,EURUSD,Buy,0.8300000000000001,2024-05-20 18:00:00,1.08605,2024-05-21 00:00:00,1.08558,,,-39.00999999999755,901.4214999999999,0.0,False
42,EURUSD,Buy,1.6600000000000001,2024-05-20 20:00:00,1.08642,2024-05-20 22:00:00,1.08598,198309.37385069567,198433.0438506957,-74.69999999999933,1803.4572,1e-05,True
41,EURUSD,Buy,2.0,2024-05-20 19:00:00,1.08659,2024-05-20 20:00:00,1.08642,198384.07385069568,198462.8938506957,-34.000000000000696,2173.18,0.0,True
39,EURUSD,Buy,2.0,2024-05-20 16:00:00,1.08651,2024-05-20 17:00:00,1.08651,198418.07385069568,198418.07385069568,-21.074327042557343,2173.0200000000004,0.00010537163521278671,True
18,EURUSD,Buy,2.0,2024-05-16 02:00:00,1.08884,2024-05-20 17:00:00,1.08651,198439.14817773824,198418.07385069568,-491.4432613575765,2177.68,0.00012721630678793922,True
38,EURUSD,Buy,2.0,2024-05-20 09:00:00,1.08782,2024-05-20 14:00:00,1.08601,198930.59143909582,198339.1481777382,-362.00000000001785,2175.64,0.0,True
37,EURUSD,Buy,1.7,2024-05-20 07:00:00,1.08808,2024-05-20 08:00:00,1.08806,199292.59143909585,199111.14817773827,-27.97080553723985,1849.7359999999999,0.00014453415021914898,True
36,EURUSD,Buy,0.58,2024-05-20 04:00:00,1.08753,2024-05-20 05:00:00,1.08741,199320.5622446331,199009.1189832755,-11.859484287324682,630.7674,8.447386702271936e-05,True
35,EURUSD,Buy,1.85,2024-05-20 01:00:00,1.08706,2024-05-20 02:00:00,1.08725,199332.42172892042,198988.97846756285,22.342214708215337,2011.0609999999997,6.923127184761916e-05,True
34,EURUSD,Buy,0.96,2024-05-20 00:00:00,1.08687,2024-05-20 01:00:00,1.08706,199310.0795142122,198928.6362528546,6.223987792726021,1043.3952,0.00012516679382568307,True
33,EURUSD,Buy,1.73,2024-05-17 20:00:00,1.08737,2024-05-17 21:00:00,1.08757,199303.85552641947,199024.41226506187,17.99846393199084,1881.1500999999998,9.596263623124479e-05,True
32,EURUSD,Buy,1.82,2024-05-17 19:00:00,1.08686,2024-05-17 20:00:00,1.08737,199285.85706248748,198966.41380112988,70.39607617608654,1978.0852,0.00012320837265887563,True
31,EURUSD,Sell,1.16,2024-05-17 17:00:00,1.08764,2024-05-17 19:00:00,1.08686,199215.4609863114,198794.0177249538,78.67813975604632,1261.6623999999997,0.00010174017451684492,True
30,EURUSD,Buy,2.0,2024-05-17 16:00:00,1.08553,2024-05-17 17:00:00,1.08764,199136.78284655535,198871.33958519774,401.7776997855252,2171.0600000000004,0.00010111150107220813,True
29,EURUSD,Buy,1.29,2024-05-17 09:00:00,1.08627,2024-05-17 16:00:00,1.08553,198735.00514676984,198047.56188541226,-95.6729139303697,1401.2883000000002,1.6504955842983434e-06,True
28,EURUSD,Buy,1.22,2024-05-17 08:00:00,1.08612,2024-05-17 09:00:00,1.08627,198830.67806070021,198291.23479934264,10.238267820516613,1325.0664,6.607977196307308e-05,True
27,EURUSD,Buy,1.76,2024-05-17 07:00:00,1.08561,2024-05-17 08:00:00,1.08612,198820.4397928797,198250.9965315221,70.86435631061154,1910.6735999999999,0.00010736161187153573,True
