cum_position_count,entry_price,entry_time,exit_time,first_TP_hit,exit_price,direction,secondary_profit,primary_profit,profit,swap,swap_rate,nova_profit_inp,msolutions_profit_inp,nova_profit,msolutions_profit,entry_day_of_week,exit_day_of_week,nova_cum_sum,msolutions_cum_sum
1.0,1.070225,2023-01-01 19:55:00,2023-01-01 21:00:00,0.0,1.069575, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Sunday,Sunday,-680.0000000000396,-700.0000000000396
2.0,1.0686000000000002,2023-01-02 01:55:00,2023-01-02 01:56:00,1.0,1.0686000000000004, short,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,-710.0000000002616,-750.0000000002616
3.0,1.0682750000000003,2023-01-02 02:16:00,2023-01-02 02:37:00,1.0,1.0682750000000005, short,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,-740.0000000004836,-800.0000000004836
4.0,1.0676250000000005,2023-01-02 02:47:00,2023-01-02 02:58:00,1.0,1.0673000000000008, short,162.49999999984334,162.5,324.9999999996867,0,0.0,294.99999999984334,274.99999999984334,294.9999999996867,274.9999999996867,Monday,Monday,-445.00000000079694,-525.000000000797
5.0,1.0686000000000004,2023-01-02 03:39:00,2023-01-02 03:58:00,0.0,1.0679500000000004, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Monday,Monday,-1125.0000000008365,-1225.0000000008365
6.0,1.0686000000000004,2023-01-02 04:00:00,2023-01-02 04:06:00,1.0,1.0686000000000002, buy,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,-1155.0000000010587,-1275.0000000010587
7.0,1.0673000000000006,2023-01-02 09:57:00,2023-01-02 11:14:00,1.0,1.066650000000001, short,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Monday,Monday,-535.0000000014634,-675.0000000014634
8.0,1.066000000000001,2023-01-02 11:19:00,2023-01-02 12:03:00,1.0,1.0660000000000012, short,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,-565.0000000016854,-725.0000000016854
9.0,1.0653500000000011,2023-01-02 13:26:00,2023-01-02 15:07:00,1.0,1.0656750000000013, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,-920.0000000018161,-1100.0000000018163
10.0,1.066650000000001,2023-01-02 18:00:00,2023-01-02 18:13:00,1.0,1.0673000000000006, buy,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Monday,Monday,-300.0000000022209,-500.000000002221
11.0,1.0653500000000011,2023-01-02 18:18:00,2023-01-02 18:20:00,0.0,1.0660000000000012, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Monday,Monday,-980.0000000022604,-1200.0000000022605
12.0,1.066975000000001,2023-01-02 18:40:00,2023-01-02 19:22:00,1.0,1.0669750000000007, buy,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Monday,Monday,-1010.0000000024825,-1250.0000000024827
13.0,1.066975000000001,2023-01-02 20:15:00,2023-01-02 20:20:00,1.0,1.0666500000000008, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,-1365.0000000026132,-1625.0000000026134
14.0,1.065675000000001,2023-01-02 20:25:00,2023-01-02 21:03:00,1.0,1.0660000000000012, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,-1720.000000002744,-2000.0000000027442
15.0,1.0673000000000008,2023-01-02 21:48:00,2023-01-02 22:15:00,1.0,1.0669750000000007, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,-2075.000000002875,-2375.000000002875
16.0,1.0676250000000007,2023-01-02 23:11:00,2023-01-02 23:54:00,1.0,1.0673000000000006, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Monday,Monday,-2430.000000003006,-2750.000000003006
17.0,1.066000000000001,2023-01-03 01:31:00,2023-01-03 03:21:00,1.0,1.0578750000000035, short,4062.4999999987476,162.5,8124.999999997495,0,0.0,4194.999999998748,4174.999999998748,8094.999999997495,8074.999999997495,Tuesday,Tuesday,5664.999999994489,5324.999999994489
18.0,1.0572250000000034,2023-01-03 03:25:00,2023-01-03 03:36:00,1.0,1.0565750000000038, short,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Tuesday,Tuesday,6284.999999994085,5924.999999994085
19.0,1.054950000000004,2023-01-03 04:01:00,2023-01-03 04:10:00,1.0,1.0543000000000045, short,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Tuesday,Tuesday,6904.99999999368,6524.99999999368
20.0,1.0539750000000043,2023-01-03 04:17:00,2023-01-03 04:24:00,0.0,1.0546250000000044, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Tuesday,Tuesday,6224.999999993641,5824.999999993641
21.0,1.0549500000000043,2023-01-03 04:30:00,2023-01-03 04:45:00,1.0,1.055275000000004, buy,162.49999999984334,162.5,324.9999999996867,0,0.0,294.99999999984334,274.99999999984334,294.9999999996867,274.9999999996867,Tuesday,Tuesday,6519.999999993328,6099.999999993328
22.0,1.0533250000000047,2023-01-03 07:16:00,2023-01-03 07:55:00,1.0,1.0539750000000043, buy,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Tuesday,Tuesday,7139.999999992923,6699.999999992923
23.0,1.0549500000000043,2023-01-03 08:17:00,2023-01-03 08:48:00,1.0,1.0562500000000037, buy,649.9999999997065,162.5,1299.999999999413,0,0.0,782.4999999997065,762.4999999997065,1269.999999999413,1249.999999999413,Tuesday,Tuesday,8409.999999992337,7949.999999992337
24.0,1.0565750000000038,2023-01-03 09:08:00,2023-01-03 09:20:00,1.0,1.0565750000000036, buy,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Tuesday,Tuesday,8379.999999992115,7899.999999992115
25.0,1.0575500000000035,2023-01-03 09:37:00,2023-01-03 09:48:00,1.0,1.058525000000003, buy,487.49999999975205,162.5,974.9999999995041,0,0.0,619.999999999752,599.999999999752,944.9999999995041,924.9999999995041,Tuesday,Tuesday,9324.999999991618,8824.999999991618
26.0,1.0572250000000034,2023-01-03 10:26:00,2023-01-03 11:13:00,1.0,1.0546250000000044, short,1299.9999999995237,162.5,2599.9999999990473,0,0.0,1432.4999999995237,1412.4999999995237,2569.9999999990473,2549.9999999990473,Tuesday,Tuesday,11894.999999990665,11374.999999990665
27.0,1.054950000000004,2023-01-03 12:31:00,2023-01-03 13:26:00,1.0,1.0549500000000043, short,-1.1102230246251565e-10,162.5,-2.220446049250313e-10,0,0.0,132.49999999988898,112.49999999988898,-30.000000000222045,-50.000000000222045,Tuesday,Tuesday,11864.999999990443,11324.999999990443
28.0,1.055600000000004,2023-01-03 13:29:00,2023-01-03 15:22:00,1.0,1.0559250000000038, buy,162.49999999984334,162.5,324.9999999996867,0,0.0,294.99999999984334,274.99999999984334,294.9999999996867,274.9999999996867,Tuesday,Tuesday,12159.99999999013,11599.99999999013
29.0,1.0543000000000042,2023-01-03 18:23:00,2023-01-03 19:02:00,0.0,1.0549500000000043, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Tuesday,Tuesday,11479.99999999009,10899.99999999009
30.0,1.056250000000004,2023-01-03 20:04:00,2023-01-04 00:21:00,1.0,1.0569000000000035, buy,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Tuesday,Wednesday,12099.999999989686,11499.999999989686
31.0,1.0572250000000036,2023-01-04 01:13:00,2023-01-04 01:39:00,0.0,1.0565750000000036, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,11419.999999989646,10799.999999989646
32.0,1.0578750000000035,2023-01-04 02:15:00,2023-01-04 02:45:00,1.0,1.0595000000000028, buy,812.4999999996606,162.5,1624.9999999993213,0,0.0,944.9999999996606,924.9999999996606,1594.9999999993213,1574.9999999993213,Wednesday,Wednesday,13014.999999988968,12374.999999988968
33.0,1.0604750000000027,2023-01-04 03:06:00,2023-01-04 03:19:00,1.0,1.062100000000002, buy,812.4999999996606,162.5,1624.9999999993213,0,0.0,944.9999999996606,924.9999999996606,1594.9999999993213,1574.9999999993213,Wednesday,Wednesday,14609.99999998829,13949.99999998829
34.0,1.0624250000000022,2023-01-04 03:22:00,2023-01-04 03:25:00,1.0,1.062100000000002, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,14254.999999988158,13574.999999988158
35.0,1.0614500000000022,2023-01-04 03:42:00,2023-01-04 03:53:00,1.0,1.0617750000000024, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,13899.999999988027,13199.999999988027
36.0,1.0608000000000024,2023-01-04 04:06:00,2023-01-04 04:15:00,0.0,1.0614500000000024, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,13219.999999987987,12499.999999987987
37.0,1.0614500000000022,2023-01-04 04:45:00,2023-01-04 04:52:00,0.0,1.0621000000000023, short,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,12539.999999987947,11799.999999987947
38.0,1.0614500000000022,2023-01-04 04:57:00,2023-01-04 05:16:00,1.0,1.0617750000000024, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,12184.999999987816,11424.999999987816
39.0,1.0614500000000022,2023-01-04 06:26:00,2023-01-04 07:58:00,1.0,1.0608000000000026, short,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Wednesday,Wednesday,12804.999999987413,12024.999999987413
40.0,1.0601500000000026,2023-01-04 08:14:00,2023-01-04 08:21:00,1.0,1.0604750000000027, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,12449.999999987282,11649.999999987282
41.0,1.0624250000000022,2023-01-04 09:54:00,2023-01-04 10:00:00,0.0,1.0617750000000021, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,11769.999999987242,10949.999999987242
42.0,1.0608000000000024,2023-01-04 10:04:00,2023-01-04 10:17:00,1.0,1.059500000000003, short,649.9999999997065,162.5,1299.999999999413,0,0.0,782.4999999997065,762.4999999997065,1269.999999999413,1249.999999999413,Wednesday,Wednesday,13039.999999986654,12199.999999986654
43.0,1.058850000000003,2023-01-04 10:22:00,2023-01-04 10:27:00,1.0,1.059175000000003, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,12684.999999986523,11824.999999986523
44.0,1.0604750000000027,2023-01-04 11:10:00,2023-01-04 12:18:00,1.0,1.0611250000000023, buy,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Wednesday,Wednesday,13304.999999986117,12424.999999986117
45.0,1.0624250000000022,2023-01-04 19:29:00,2023-01-04 20:37:00,1.0,1.062100000000002, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,12949.999999985987,12049.999999985987
46.0,1.0608000000000024,2023-01-04 22:56:00,2023-01-05 01:03:00,1.0,1.0611250000000025, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Thursday,12594.999999985856,11674.999999985856
47.0,1.0601500000000026,2023-01-05 02:44:00,2023-01-05 02:57:00,1.0,1.059825000000003, short,162.49999999984334,162.5,324.9999999996867,0,0.0,294.99999999984334,274.99999999984334,294.9999999996867,274.9999999996867,Thursday,Thursday,12889.999999985543,11949.999999985543
48.0,1.0624250000000022,2023-01-05 03:31:00,2023-01-05 03:38:00,0.0,1.0617750000000021, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Thursday,Thursday,12209.999999985503,11249.999999985503
49.0,1.0624250000000022,2023-01-05 03:54:00,2023-01-05 04:01:00,0.0,1.0617750000000021, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Thursday,Thursday,11529.999999985463,10549.999999985463
50.0,1.0624250000000022,2023-01-05 04:35:00,2023-01-05 05:06:00,0.0,1.0617750000000021, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Thursday,Thursday,10849.999999985423,9849.999999985423
