2024.02.23 07:19:42.332,"2023.10.16 01:45:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: Time: 2"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: SMI: 68.14833795171899"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.345,"2023.10.16 02:00:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: Time: 2"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: SMI: 56.8376040514807"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.350,"2023.10.16 02:15:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: Time: 2"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: SMI: 54.49996274982936"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.350,"2023.10.16 02:30:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: Time: 2"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: SMI: 55.39403446508162"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.350,"2023.10.16 02:45:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.363,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.363,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: Time: 3"
2024.02.23 07:19:42.363,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.363,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.363,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: SMI: 58.0642028354905"
2024.02.23 07:19:42.365,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.365,"2023.10.16 03:00:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.373,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.373,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: Time: 3"
2024.02.23 07:19:42.373,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.373,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.375,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: SMI: 47.99072723854743"
2024.02.23 07:19:42.375,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.375,"2023.10.16 03:15:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.385,"2023.10.16 03:30:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
