Date,Event,Impact,Currency
2024-05-14 12:00:00,(Germany) ZEW Economic Sentiment Index,High,EUR
2024-05-14 15:30:00,(United States) PPI MoM,High,USD
2024-05-14 17:00:00,(United States) Fed Chair Powell Speech,High,USD
2024-05-15 12:00:00,(Euro Area) Employment Change QoQ,High,EUR
2024-05-15 12:00:00,(Euro Area) Employment Change YoY,High,EUR
2024-05-15 15:30:00,(United States) NY Empire State Manufacturing Index,High,USD
2024-05-15 15:30:00,(United States) Inflation Rate YoY,High,USD
2024-05-15 15:30:00,(United States) Retail Sales YoY,High,USD
2024-05-15 15:30:00,(United States) Core Inflation Rate MoM,High,USD
2024-05-15 15:30:00,(United States) Retail Sales MoM,High,USD
2024-05-15 15:30:00,(United States) Retail Sales Ex Autos MoM,High,USD
2024-05-15 15:30:00,(United States) Inflation Rate MoM,High,USD
2024-05-15 15:30:00,(United States) Core Inflation Rate YoY,High,USD
2024-05-15 15:30:00,(United States) CPI,High,USD
2024-05-15 15:30:00,(United States) CPI s.a,High,USD
2024-05-15 15:30:00,(United States) Retail Sales Ex Gas/Autos MoM,High,USD
2024-05-16 15:30:00,(United States) Jobless Claims 4-week Average,High,USD
2024-05-16 15:30:00,(United States) Continuing Jobless Claims,High,USD
2024-05-16 15:30:00,(United States) Initial Jobless Claims,High,USD
2024-05-16 15:30:00,(United States) Building Permits,High,USD
2024-05-17 10:20:00,(Euro Area) ECB Guindos Speech,High,EUR
2024-05-17 12:00:00,(Euro Area) CPI,High,EUR
