Date,Event,Impact,Currency
2024-06-12 15:30:00,(United States) CPI s.a,High,USD
2024-06-12 15:30:00,(United States) Core Inflation Rate MoM,High,USD
2024-06-12 15:30:00,(United States) CPI,High,USD
2024-06-12 15:30:00,(United States) Inflation Rate MoM,High,USD
2024-06-12 15:30:00,(United States) Core Inflation Rate YoY,High,USD
2024-06-12 15:30:00,(United States) Inflation Rate YoY,High,USD
2024-06-12 21:00:00,(United States) Fed Interest Rate Decision,High,USD
2024-06-12 21:00:00,(United States) FOMC Economic Projections,High,USD
2024-06-12 21:30:00,(United States) Fed Press Conference,High,USD
2024-06-13 15:30:00,(United States) Continuing Jobless Claims,High,USD
2024-06-13 15:30:00,(United States) Initial Jobless Claims,High,USD
2024-06-13 15:30:00,(United States) Jobless Claims 4-week Average,High,USD
2024-06-13 15:30:00,(United States) PPI MoM,High,USD
2024-06-14 17:00:00,(United States) Michigan Consumer Sentiment,High,USD
